origin_id,destination_id,entry_cost,network_co,exit_cost,distance
40,67,0.0000000,15692.6528591,0.0000000,15692.6528591
40,68,0.0000000,8335.5619361,0.0000000,8335.5619361
40,69,0.0000000,8869.2498636,0.0000000,8869.2498636
40,77,,,,
40,82,,,,
40,83,,,,
40,84,,,,
40,85,,,,
40,86,,,,
40,87,,,,
40,88,,,,
40,89,,,,
40,90,,,,
48,0,,,,
48,17,,,,
48,18,,,,
48,20,,,,
48,21,,,,
48,23,,,,
48,24,,,,
48,25,,,,
48,29,,,,
48,30,,,,
48,31,,,,
48,32,,,,
48,33,,,,
48,35,,,,
48,36,,,,
48,38,,,,
48,39,,,,
48,40,,,,
48,48,,,,
48,52,0.0000000,17523.5663423,0.0000000,17523.5663423
48,53,0.0000000,17089.1540724,0.0000000,17089.1540724
48,54,0.0000000,10604.2798559,0.0000000,10604.2798559
48,57,0.0000000,4763.2082478,0.0000000,4763.2082478
48,58,0.0000000,2828.6899145,0.0000000,2828.6899145
48,60,,,,
48,61,,,,
48,62,,,,
48,63,,,,
48,64,,,,
48,66,,,,
48,67,,,,
48,68,,,,
48,69,,,,
48,77,,,,
48,82,,,,
48,83,,,,
48,84,,,,
48,85,,,,
48,86,,,,
48,87,,,,
48,88,,,,
48,89,,,,
48,90,,,,
52,0,,,,
52,17,,,,
52,18,,,,
52,20,,,,
52,21,,,,
52,23,,,,
52,24,,,,
52,25,,,,
52,29,,,,
52,30,,,,
52,31,,,,
52,32,,,,
52,33,,,,
52,35,,,,
52,36,,,,
52,38,,,,
52,39,,,,
52,40,,,,
52,41,,,,
52,48,,,,
52,52,,,,
52,53,0.0000000,1916.6562968,0.0000000,1916.6562968
52,54,,,,
52,57,,,,
52,58,,,,
52,60,,,,
52,61,,,,
52,62,,,,
52,63,,,,
52,64,,,,
52,66,,,,
52,67,,,,
52,68,,,,
52,69,,,,
52,77,,,,
52,82,,,,
52,83,,,,
52,84,,,,
52,85,,,,
52,86,,,,
52,87,,,,
52,88,,,,
52,89,,,,
52,90,,,,
53,0,,,,
53,17,,,,
53,18,,,,
53,20,,,,
53,21,,,,
53,23,,,,
53,24,,,,
53,25,,,,
53,29,,,,
53,30,,,,
53,31,,,,
53,32,,,,
53,33,,,,
53,35,,,,
53,36,,,,
53,38,,,,
53,39,,,,
53,40,,,,
53,41,,,,
53,48,,,,
53,52,,,,
53,53,,,,
53,54,,,,
53,57,,,,
53,58,,,,
53,60,,,,
53,61,,,,
53,62,,,,
53,63,,,,
53,64,,,,
53,66,,,,
53,67,,,,
53,68,,,,
53,69,,,,
53,77,,,,
53,82,,,,
53,83,,,,
53,84,,,,
53,85,,,,
53,86,,,,
53,87,,,,
53,88,,,,
